La Nature|Légumes Et Plantes|Ache Des Montagnes, Livèche|(Voir Céleri), àpi Bastard (X), Cisto, Cistro (X)
La Nature|Légumes Et Plantes|Ache, Persil Odorant|Api Fer (A)(P), àpi Bouscas, Fèr (X)
La Nature|Légumes Et Plantes|Ail|Ailhet (Eg), Ayet (Av)
La Nature|Légumes Et Plantes|Ansérine Verte, Potentille Ansérine|(Av), Armoun (Eg)(Av)
La Nature|Légumes Et Plantes|Ansérine Blanche|Farinello, Farineto (X), Pato D'Auco (X)
La Nature|Légumes Et Plantes|Ansérine Bonhenri|Sangàri (X)
La Nature|Légumes Et Plantes|Arroche Des Jardins|Espinarc Fèr (X)
La Nature|Légumes Et Plantes|Arroche Glauque, Atriplex Glauca, Atriplex|Erbo Dóu Masclun (X)
La Nature|Légumes Et Plantes|Arroche Sauvage|Seniscle (X)
La Nature|Légumes Et Plantes|Arroches, Bonnes Dames|Armoou (Manger Cuites (Eg))(A), Aussi Folletes (P), Harmoou (P), Prudes Femmes (P), Armoou, Armoux (Av), Armòu, Bono Damo (X), Armoou, Bonne Dame (A)(Av), Bóno Damo (X), Fouleto (X)
La Nature|Légumes Et Plantes|Aubaine (Sorte De Froment)|Aubeno (X)
La Nature|Légumes Et Plantes|Avoine|La Civado (Av)(X), Civado Fèro Avoine Sauvage (P)(Av)(X)
La Nature|Légumes Et Plantes|Basilic|Baricot, Babarico (Eg)
La Nature|Légumes Et Plantes|Blé, Espèce|Aufegue (A), Barbarié (Maïs (Av)), Couguou (Av), Rapugo Smyrne (Av), Doou Diable Aegilops (Av), Moounié, Pontis, Pontus (Av), Sarrazin Noir (Av), Tuzello Froment (Av), Tusèlo, Seisseto, Nouno (A), Blad Barbu, Gros (X), D'Aboundànci (Smyrne), Blad Dur (Du Levant), Blad Mouresco (Noir, Sarrazin), Negriero. Blé Noir Mi Negre (X), Richello Richelle, Blé De Naples (X), Roumanello Froment Barbu (X), Tousello Touselle (X)
La Nature|Légumes Et Plantes|Blé|Lou Bla Blad (X)
La Nature|Légumes Et Plantes|Blé Maigre|Bla Anouï (P)
La Nature|Légumes Et Plantes|Cassis, Groseiller Noir|Cassis (X)
La Nature|Légumes Et Plantes|Chicorée|Cicori (Av)(A), Cicoureyo(A)(Av), Endivo (Av), Cicòri (X)
La Nature|Légumes Et Plantes|Civette|Civetto (A)
La Nature|Légumes Et Plantes|Endive|Andivo (Eg)(P)(A), Il Le Nomme Chicorée, Endivio, Endivo (X)
La Nature|Légumes Et Plantes|Épeautre|Espeoutre (Eg), Espeoute (A), Hourdea (P), Espeouto (Av)
La Nature|Légumes Et Plantes|Froment|Announo, Nouno (Eg), Espèoulo (Av)
La Nature|Légumes Et Plantes|Froment (Variété)|Pessegalo (X)
La Nature|Légumes Et Plantes|Froment (Variété)|Tuello (X)
La Nature|Légumes Et Plantes|Froment (Variété)|Barbo Negro (X)
La Nature|Légumes Et Plantes|Froment D'Été, Blé Fin|Bladeto (X)
La Nature|Légumes Et Plantes|Froment Rouge, Blé|Seissetto (Av), Óufegue (X), Primo Anouno (X)
La Nature|Légumes Et Plantes|Gros Froment|Seysseto, Issu De Sicile Et Semé En Arles (A)
La Nature|Légumes Et Plantes|Gruau D'Avoine|Avena (P)
La Nature|Légumes Et Plantes|Houblon|Houbeloun (P)(Av)(A), Houbloun (Av)(A), Oubloun, Barbouto (X), Óubloun (X), Tantaravèu (X), Vigno Dóu Nord
La Nature|Légumes Et Plantes|Luzerne|Luserno Aussi Lente (A), Luzerno (A), Lente (13), Lentoun (04)
La Nature|Légumes Et Plantes|Luzerne Jaune|Lènte, Lènti, Lènto (X)
La Nature|Légumes Et Plantes|Luzerne Orbiculaire|Erbo De La Rodo (X)
La Nature|Légumes Et Plantes|Mélange De Blé Et D'Orge|Ourgoun (X)
La Nature|Légumes Et Plantes|Mélange Entre L'Orge Et Le Seigle|Poumoule Pour Nourriture Des Animaux
La Nature|Légumes Et Plantes|Mélange Orge Et Avoine|Ourdiado (X)
La Nature|Légumes Et Plantes|Mélange Orge, Seigle Et Avoine|(Semer Pour Nourrir Les Bestiaux), Barjelado, Barjoulado (A)
La Nature|Légumes Et Plantes|Méteil|Mesclo, Mélange De Foin Et De Blé, De Plusieurs Sortes De Blés(A), Forment Et Seigle (A), Councegau, Gros (Plus De Froment Que De Seigle), Petit Méteil (Inverse)(P), Counsegaou Conseigle (Av), Consegau (A)
La Nature|Légumes Et Plantes|Méteil|Counsegau (Mélange De Froment Et Seigle)(A), Mitaden (X), Mitadié (X)
La Nature|Légumes Et Plantes|Orge|L'Ordi (Av), Hordi (A)(Av), Houerdi (A), Òrdi (X)
La Nature|Légumes Et Plantes|Orge Des Souris|Sauto Roubin (X)
La Nature|Légumes Et Plantes|Oseille|Aigreto (Eg), Aigretto (A), Eigreto (P)(X), Eigretto (Av)(A), Herbetto (Av), Acetouso, Agradello, Erbo Dòu Biòu, Eigreto Fero (X)
La Nature|Légumes Et Plantes|Pasquie, Fourrage Vert|Escourgeon (Mélange Avoine Et Vesces)(Eg), Pasquiè (Av)
La Nature|Légumes Et Plantes|Pastel|Lenti (A)
La Nature|Légumes Et Plantes|Paumelle|Paumoulo, Hourdeat (Sorte D'Orge Commun En Provence), Orge De Printemps Cultivée En Montagne Poumoule (Eg), En Français Orgeat (A), Paoumoulo, Pooumoulo Espèce D'Orge à Deux Rangs De Barbe (Av), Paumoulo (X)
La Nature|Légumes Et Plantes|Safran|Safran (A)(P)(X), Nadiho (X)
La Nature|Légumes Et Plantes|Safran Printanier|Semenciero De Primo (X)
La Nature|Légumes Et Plantes|Safran Sauvage|Safran Fèr (Av), Safran Batard (A), Safran Bastar (P)
La Nature|Légumes Et Plantes|Sainfoin|Esparcet (Av)(Esparse, Sparcet (Eg)), Esparset, Esparceilh (A), Esparset, Esparsèu (X), Flo Paié (X)
La Nature|Légumes Et Plantes|Sarrazin|Minegre (A)
La Nature|Légumes Et Plantes|Seigle|Lou Segue (Av)(A)(X), Segle (A), Anouno (X)
La Nature|Légumes Et Plantes|Sétaire D'Italie, Panis, Millet Des Oiseaux, Petit Mil|Mi D'Itàli (X)
La Nature|Légumes Et Plantes|Son|Rasset (Av)
La Nature|Plantes Médicinale|Plantes Médicinales|Simple (Jcb), Simplos (A)
La Nature|Plantes Médicinale|Ammi|àpi Fòu (X), Pour Les Maladies De Peau
La Nature|Plantes Médicinale|Anis Étoilé, Badiane|Badiano (X)(Tension, Digestion)
La Nature|Plantes Médicinale|Arnica, Épiaire Officinale, Bétoine Officinale, Bétoine|Estournigo (X)
La Nature|Plantes Médicinale|Aspic, Lavande Des Collines|Espic (A), Aspic, Aspi (P), Espi (Av)(3 Brins)(X), Espic (A)
La Nature|Plantes Médicinale|Balsamine|Balsamino, Baume Contre Les Blessures Les Ulcères Et Les Hémorroïdes (Eg), Barzamino (A)
La Nature|Plantes Médicinale|Calament|Manugueto, Plante Aromatique Digestive (P)(A), Calaman (P), Manuguetto (Av), Ressemble à L'Origan
La Nature|Plantes Médicinale|Camomille|Camoumido, Camamieri (Eg)(A), Camamièli, Camamiho, Margaridié (X), Sorte De Camomille Marousso (X)
La Nature|Plantes Médicinale|Camomille Fausse|Uiot (X)
La Nature|Plantes Médicinale|Camomille Sauvage|Margaridier (A)
La Nature|Plantes Médicinale|Casse, Cassia Fistula|Cassi, Canefici (Purgative)(Eg)
